,datetime,Plant Name,Fuel Type,Cooling Type,Withdrawal [L/h],Consumption [L/h]
4354,2019-07-01 11:00:00,Plant 3,coal,RI,475961.3644462283,387657.89155698253
4355,2019-07-01 12:00:00,Plant 3,coal,RI,481136.5667054858,391798.05336438864
4356,2019-07-01 13:00:00,Plant 3,coal,RI,486272.7067213844,395906.96537710755
4357,2019-07-01 14:00:00,Plant 3,coal,RI,488337.20566472516,397558.5645317801
4358,2019-07-01 15:00:00,Plant 3,coal,RI,487505.32563863095,396893.06051090476
4359,2019-07-01 16:00:00,Plant 3,coal,RI,493060.8733321084,401337.49866568664
4360,2019-07-01 17:00:00,Plant 3,coal,RI,504284.67523122317,410316.54018497857
4361,2019-07-01 18:00:00,Plant 3,coal,RI,513050.2926807232,417329.0341445785
4362,2019-07-01 19:00:00,Plant 3,coal,RI,517982.1099999057,421274.4879999245
4363,2019-07-01 20:00:00,Plant 3,coal,RI,521962.8526524765,424459.0821219812
4364,2019-07-01 21:00:00,Plant 3,coal,RI,527272.5963648197,428706.8770918557
4365,2019-07-01 22:00:00,Plant 3,coal,RI,530317.8062099941,431143.0449679953
4366,2019-07-01 23:00:00,Plant 3,coal,RI,527272.5963648197,428706.8770918557
4344,2019-07-01 01:00:00,Plant 6,coal,OC,273687.7069390876,6300.8770693908755
4345,2019-07-01 02:00:00,Plant 6,coal,OC,260448.11346168138,6168.481134616813
4346,2019-07-01 03:00:00,Plant 6,coal,OC,262991.1640900147,6193.911640900148
4347,2019-07-01 04:00:00,Plant 6,coal,OC,311817.73615401756,6682.177361540176
4348,2019-07-01 05:00:00,Plant 6,coal,OC,273687.7069390876,6300.8770693908755
4349,2019-07-01 06:00:00,Plant 6,coal,OC,260448.11346168138,6168.481134616813
4350,2019-07-01 07:00:00,Plant 6,coal,OC,255508.7266643413,6119.087266643413
4351,2019-07-01 08:00:00,Plant 6,coal,OC,260448.11346168138,6168.481134616813
4352,2019-07-01 09:00:00,Plant 6,coal,OC,265585.07573091495,6219.850757309149
4353,2019-07-01 10:00:00,Plant 6,coal,OC,250755.73182161784,6071.557318216178
4354,2019-07-01 11:00:00,Plant 6,coal,OC,241768.2506644681,5981.682506644681
4355,2019-07-01 12:00:00,Plant 6,coal,OC,276501.12055303634,6329.011205530363
4356,2019-07-01 13:00:00,Plant 6,coal,OC,319244.6695553192,6756.446695553192
4357,2019-07-01 14:00:00,Plant 6,coal,OC,339478.30221912166,6958.783022191217
4358,2019-07-01 15:00:00,Plant 6,coal,OC,331081.3446636435,6874.813446636436
4359,2019-07-01 16:00:00,Plant 6,coal,OC,394622.50109091785,7510.225010909179
4360,2019-07-01 17:00:00,Plant 6,coal,OC,612867.6179788717,9692.676179788716
4361,2019-07-01 18:00:00,Plant 6,coal,OC,1011234.9066573645,13676.349066573646
4362,2019-07-01 19:00:00,Plant 6,coal,OC,1544688.6807700885,19010.88680770088
4363,2019-07-01 20:00:00,Plant 6,coal,OC,2623450.757309148,29798.50757309149
4364,2019-07-01 21:00:00,Plant 6,coal,OC,26202107.57309112,265585.07573091117
4365,2019-07-01 22:00:00,Plant 6,coal,OC,-6546026.893272896,-61896.26893272895
4366,2019-07-01 23:00:00,Plant 6,coal,OC,26202107.57309112,265585.07573091117
4344,2019-07-01 01:00:00,Plant 9,coal,OC,5932181.047904723,136571.51047904725
4345,2019-07-01 02:00:00,Plant 9,coal,OC,5645212.859281944,133701.82859281942
4346,2019-07-01 03:00:00,Plant 9,coal,OC,5700333.481651069,134253.0348165107
4347,2019-07-01 04:00:00,Plant 9,coal,OC,6758649.431138331,144836.19431138333
4348,2019-07-01 05:00:00,Plant 9,coal,OC,5932181.047904723,136571.51047904725
4349,2019-07-01 06:00:00,Plant 9,coal,OC,5645212.859281944,133701.82859281942
4350,2019-07-01 07:00:00,Plant 9,coal,OC,5538151.650449597,132631.216504496
4351,2019-07-01 08:00:00,Plant 9,coal,OC,5645212.859281944,133701.82859281942
4352,2019-07-01 09:00:00,Plant 9,coal,OC,5756556.516467582,134815.26516467583
4353,2019-07-01 10:00:00,Plant 9,coal,OC,5435130.487233567,131601.00487233567
4354,2019-07-01 11:00:00,Plant 9,coal,OC,5240326.833152346,129652.96833152347
4355,2019-07-01 12:00:00,Plant 9,coal,OC,5993161.787987064,137181.31787987062
4356,2019-07-01 13:00:00,Plant 9,coal,OC,6919628.212611544,146445.98212611544
4357,2019-07-01 14:00:00,Plant 9,coal,OC,7358192.200599463,150831.62200599464
4358,2019-07-01 15:00:00,Plant 9,coal,OC,7176188.145584474,149011.58145584477
4359,2019-07-01 16:00:00,Plant 9,coal,OC,8553442.711145645,162784.12711145647
4360,2019-07-01 17:00:00,Plant 9,coal,OC,13283905.619692046,210088.75619692044
4361,2019-07-01 18:00:00,Plant 9,coal,OC,21918516.601798378,296434.8660179838
4362,2019-07-01 19:00:00,Plant 9,coal,OC,33481127.15569167,412060.97155691666
4363,2019-07-01 20:00:00,Plant 9,coal,OC,56863295.164675795,645882.6516467581
4364,2019-07-01 21:00:00,Plant 9,coal,OC,567930681.6467501,5756556.5164675
4365,2019-07-01 22:00:00,Plant 9,coal,OC,-141885132.91169003,-1341601.6291169
4366,2019-07-01 23:00:00,Plant 9,coal,OC,567930681.6467501,5756556.5164675
