datetime,water_discharge
2018-11-13,11140.21052631579
2018-11-14,10823.684210526315
2018-11-15,9595.684210526315
2018-11-16,10014.0
2018-11-17,9861.145833333334
2018-11-18,9321.145833333334
2018-11-19,9536.593406593407
2018-11-20,9367.127659574468
2018-11-21,9389.560439560439
2018-11-22,8703.541666666666
2018-11-23,7340.95744680851
2018-11-24,9548.736842105263
2018-11-25,11928.020833333334
2018-11-26,10405.208333333334
2018-11-27,15728.72340425532
2018-11-28,18868.42105263158
2018-11-29,19256.521739130436
2018-11-30,19685.555555555555
2018-12-01,19205.263157894737
2018-12-02,25145.263157894737
2018-12-03,34277.89473684211
2018-12-04,34898.913043478264
2018-12-05,33119.14893617021
2018-12-06,30854.736842105263
2018-12-07,28148.387096774193
2018-12-08,25235.106382978724
2018-12-09,23298.958333333332
2018-12-10,21070.212765957447
2018-12-11,19733.333333333332
2018-12-12,18807.52688172043
2018-12-13,18437.5
2018-12-14,17634.375
2018-12-15,17588.88888888889
2018-12-16,17825.531914893618
2018-12-17,17806.593406593405
2018-12-18,16914.736842105263
2018-12-19,15643.617021276596
2018-12-20,16361.702127659575
2018-12-21,15440.625
2018-12-22,14154.166666666666
2018-12-23,13576.08695652174
2018-12-24,13028.260869565218
2018-12-25,11209.893617021276
2018-12-26,11079.89247311828
2018-12-27,10291.08695652174
2018-12-28,13694.68085106383
2018-12-29,18060.21505376344
2018-12-30,19054.166666666668
2018-12-31,19760.0
2019-01-01,23302.105263157893
2019-01-02,30357.894736842107
2019-01-03,31470.652173913044
2019-01-04,30171.57894736842
2019-01-05,28013.978494623654
2019-01-06,26100.0
2019-01-07,23039.36170212766
2019-01-08,24067.391304347828
2019-01-09,23257.608695652172
2019-01-10,21605.31914893617
2019-01-11,19486.021505376346
2019-01-12,18936.559139784946
2019-01-13,17489.473684210527
2019-01-14,16129.166666666666
2019-01-15,15681.91489361702
2019-01-16,15796.875
2019-01-17,15327.956989247312
2019-01-18,14618.08510638298
2019-01-19,15489.583333333334
2019-01-20,12304.301075268817
2019-01-21,10858.311688311689
2019-01-22,9914.42857142857
2019-01-23,11525.760869565218
2019-01-24,11340.531914893618
2019-01-25,8914.791666666666
2019-01-26,8768.541666666666
2019-01-27,8793.157894736842
2019-01-28,8723.75
2019-01-29,8473.958333333334
2019-01-30,8277.8125
2019-01-31,7984.895833333333
2019-02-01,7823.958333333333
2019-02-02,9270.3125
2019-02-03,11096.0
2019-02-04,14033.333333333334
2019-02-05,21835.164835164836
2019-02-06,33177.083333333336
2019-02-07,43486.458333333336
2019-02-08,47291.57894736842
2019-02-09,50017.89473684211
2019-02-10,45791.666666666664
2019-02-11,41198.958333333336
2019-02-12,38425.8064516129
2019-02-13,37383.09859154929
2019-02-14,37367.36842105263
2019-02-15,37132.97872340425
2019-02-16,36974.73684210526
2019-02-17,33996.84210526316
2019-02-18,29784.042553191488
2019-02-19,27282.291666666668
2019-02-20,25369.791666666668
2019-02-21,23616.666666666668
2019-02-22,23195.604395604394
2019-02-23,23285.416666666668
2019-02-24,32624.21052631579
2019-02-25,41969.89247311828
2019-02-26,38362.10526315789
2019-02-27,32594.791666666668
2019-02-28,29155.913978494624
2019-03-01,25727.956989247312
2019-03-02,23872.916666666668
2019-03-03,21842.105263157893
2019-03-04,18873.91304347826
2019-03-05,17491.489361702126
2019-03-06,15813.684210526315
2019-03-07,16635.106382978724
2019-03-08,16185.416666666666
2019-03-09,16318.08510638298
2019-03-10,26261.052631578947
2019-03-11,30507.36842105263
2019-03-12,27998.947368421053
2019-03-13,27180.208333333332
2019-03-14,29011.956521739132
2019-03-15,39264.583333333336
2019-03-16,40745.833333333336
2019-03-17,37829.166666666664
2019-03-18,34172.916666666664
2019-03-19,32304.166666666668
2019-03-20,30685.416666666668
2019-03-21,29843.157894736843
2019-03-22,29827.083333333332
2019-03-23,27995.744680851065
2019-03-24,27173.684210526317
2019-03-25,25912.76595744681
2019-03-26,23507.291666666668
2019-03-27,21571.875
2019-03-28,22047.872340425532
2019-03-29,20873.684210526317
2019-03-30,20971.57894736842
2019-03-31,23909.473684210527
2019-04-01,26038.297872340427
2019-04-02,28157.291666666668
2019-04-03,27519.791666666668
2019-04-04,26433.333333333332
2019-04-05,24128.125
2019-04-06,22253.125
2019-04-07,21026.315789473683
2019-04-08,20309.473684210527
2019-04-09,19434.375
2019-04-10,19698.958333333332
2019-04-11,17422.916666666668
2019-04-12,16303.125
2019-04-13,20054.255319148935
2019-04-14,18895.833333333332
2019-04-15,18282.105263157893
2019-04-16,24736.559139784946
2019-04-17,27921.875
2019-04-18,28758.333333333332
2019-04-19,29184.375
2019-04-20,27814.736842105263
2019-04-21,26268.08510638298
2019-04-22,25004.21052631579
2019-04-23,23604.21052631579
2019-04-24,21222.105263157893
2019-04-25,20141.052631578947
2019-04-26,18192.63157894737
2019-04-27,18600.0
2019-04-28,17608.333333333332
2019-04-29,22446.236559139787
2019-04-30,34723.40425531915
2019-05-01,51552.0
2019-05-02,98176.4705882353
2019-05-03,104264.21052631579
2019-05-04,93421.875
2019-05-05,74810.41666666667
2019-05-06,62342.708333333336
2019-05-07,58350.0
2019-05-08,52055.31914893617
2019-05-09,53062.5
2019-05-10,58658.333333333336
