obj_name,pg,hour,day,dec_scenario,gen_scenario
40,-9.94715783113296e-9,10,1,No weights,Normal
46,0.1325586236033278,10,1,No weights,Normal
21,0.13255861577107003,10,1,No weights,Normal
38,-9.947373877788481e-9,10,1,No weights,Normal
45,0.13255861474264752,10,1,No weights,Normal
36,0.13255862678168248,10,1,No weights,Normal
48,-9.95174877323143e-9,10,1,No weights,Normal
18,-9.946616385829403e-9,10,1,No weights,Normal
30,0.13255862775403718,10,1,No weights,Normal
3,0.04530000373075397,10,1,No weights,Normal
32,0.05400000291406073,11,1,No weights,Normal
29,0.13120159686286917,11,1,No weights,Normal
1,0.045300003631715414,11,1,No weights,Normal
2,0.045300003631715414,11,1,No weights,Normal
41,-9.947164756943932e-9,11,1,No weights,Normal
27,0.13120159653432503,11,1,No weights,Normal
42,-9.947164756943932e-9,11,1,No weights,Normal
33,0.1312015958724826,11,1,No weights,Normal
28,0.13120159653476066,11,1,No weights,Normal
26,0.1312015965334558,11,1,No weights,Normal
10,0.1312015927574069,11,1,No weights,Normal
24,0.014000009988514975,11,1,No weights,Normal
25,1.335000013338515,11,1,No weights,Normal
23,1.548000015468515,11,1,No weights,Normal
49,-9.951754547952853e-9,11,1,No weights,Normal
5,0.0906999964932179,11,1,No weights,Normal
31,0.9240000099885151,11,1,No weights,Normal
43,-9.947164756943932e-9,11,1,No weights,Normal
39,-9.94855596899351e-9,11,1,No weights,Normal
34,0.13120159587064334,11,1,No weights,Normal
44,-9.947164756943932e-9,11,1,No weights,Normal
17,-9.947894470029592e-9,11,1,No weights,Normal
37,-9.956389170411465e-9,11,1,No weights,Normal
47,5.6915000568972705,11,1,No weights,Normal
9,0.13120159276145343,11,1,No weights,Normal
12,0.13120159273863236,11,1,No weights,Normal
20,-9.946895485005281e-9,11,1,No weights,Normal
6,0.865000009988515,11,1,No weights,Normal
14,-9.94668847600511e-9,11,1,No weights,Normal
7,0.04700000350314196,11,1,No weights,Normal
8,0.1312015927742308,11,1,No weights,Normal
19,-9.946779240694109e-9,11,1,No weights,Normal
4,0.04530000363171545,11,1,No weights,Normal
22,0.676000009988515,11,1,No weights,Normal
11,0.13120159273849322,11,1,No weights,Normal
35,0.13120159587372696,11,1,No weights,Normal
13,0.13120159270479548,11,1,No weights,Normal
15,-9.946545218548551e-9,11,1,No weights,Normal
16,-9.947894470029592e-9,11,1,No weights,Normal
40,-9.947164756943932e-9,11,1,No weights,Normal
46,0.13120159273645604,11,1,No weights,Normal
21,0.13120158518434852,11,1,No weights,Normal
38,-9.947380747086173e-9,11,1,No weights,Normal
45,0.13120158423463832,11,1,No weights,Normal
36,0.13120159587381733,11,1,No weights,Normal
48,-9.951754547952853e-9,11,1,No weights,Normal
18,-9.946623454288233e-9,11,1,No weights,Normal
30,0.13120159686291274,11,1,No weights,Normal
3,0.045300003631715456,11,1,No weights,Normal
32,0.05400000369034313,12,1,No weights,Normal
29,0.1406997671555004,12,1,No weights,Normal
1,0.04530000426575354,12,1,No weights,Normal
2,0.04530000426575354,12,1,No weights,Normal
41,-9.947116243455714e-9,12,1,No weights,Normal
27,0.14069976682014088,12,1,No weights,Normal
42,-9.947116243455714e-9,12,1,No weights,Normal
33,0.1406997661323544,12,1,No weights,Normal
28,0.14069976682061533,12,1,No weights,Normal
26,0.14069976681921553,12,1,No weights,Normal
10,0.1406997627507139,12,1,No weights,Normal
24,0.014000009988517265,12,1,No weights,Normal
25,1.3350000133385171,12,1,No weights,Normal
23,1.5480000154685172,12,1,No weights,Normal
49,-9.951714100311358e-9,12,1,No weights,Normal
5,0.09069999905902815,12,1,No weights,Normal
31,0.9240000099885174,12,1,No weights,Normal
43,-9.947116243455714e-9,12,1,No weights,Normal
39,-9.948509977812096e-9,12,1,No weights,Normal
34,0.14069976613037907,12,1,No weights,Normal
44,-9.947116243455714e-9,12,1,No weights,Normal
17,-9.94784728793571e-9,12,1,No weights,Normal
37,-9.95635612324982e-9,12,1,No weights,Normal
47,5.691500056897276,12,1,No weights,Normal
9,0.1406997627550388,12,1,No weights,Normal
12,0.1406997627302934,12,1,No weights,Normal
20,-9.946846475535e-9,12,1,No weights,Normal
6,0.8650000099885173,12,1,No weights,Normal
14,-9.946639083520528e-9,12,1,No weights,Normal
7,0.04700000416171675,12,1,No weights,Normal
8,0.14069976276898008,12,1,No weights,Normal
19,-9.946730016328808e-9,12,1,No weights,Normal
