f_ENS,f_con_peak,f_con_tot,f_disvi_tot,f_emit,f_gen,f_with_peak,f_with_tot,dec_label,gen_scenario
-0.00018143997813472963,4.3652135098342955e7,2.9919680819616437e8,0.0,60.126776828715236,4.846313469394878e6,5.4502005501413085e7,3.735685801758833e8,D000546,Normal
-0.0001814399772396097,4.365213552298011e7,2.991968076171243e8,0.0,60.12677828579086,4.846313488823783e6,5.450200633399564e7,3.7356857974952245e8,D000547,Normal
-0.0001814399772396093,3.7700895572613835e7,2.5959562476284477e8,0.0,262.32779211429033,6.732217219939169e6,4.647557567957536e7,3.199220295962622e8,D000548,Normal
-0.0001814399781347294,4.991025444689927e7,3.4315534727675116e8,0.0,109.02314513557775,4.665206902255705e6,6.2078625192603886e7,4.267572257581665e8,D000549,Normal
-0.0001814399781347294,4.991027216030192e7,3.431554056457763e8,0.0,109.02320991074325,4.665206690286776e6,6.207864663775614e7,4.267572963893354e8,D000550,Normal
-0.0001814399781347294,4.99102705176378e7,3.431554065180278e8,0.0,109.0232110220089,4.665206687878247e6,6.207864464856804e7,4.26757297441265e8,D000551,Normal
-0.0001814399781347294,4.991027082421003e7,3.431554058362582e8,0.0,109.023210174735,4.66520668964207e6,6.207864502008833e7,4.2675729661823046e8,D000552,Normal
-0.0001814399781347294,4.99102700771597e7,3.4315540578360987e8,0.0,109.0232102773431,4.665206690893436e6,6.2078644115103036e7,4.267572965507155e8,D000553,Normal
-0.00018143997723960947,4.991027640295701e7,3.431554246926951e8,0.0,109.02323175334286,4.665206627475081e6,6.207865177177577e7,4.267573197277219e8,D000554,Normal
-0.0001814399781347294,4.991027156579062e7,3.4315541055130255e8,0.0,109.02321565099027,4.665206674006771e6,6.207864591712518e7,4.2675730231785464e8,D000555,Normal
-0.00018143997902984933,4.9910276201533206e7,3.431554363496534e8,0.0,109.02324528393775,4.665206584098417e6,6.207865152639553e7,4.267573332098123e8,D000556,Normal
-0.0001814399781347292,4.049506868190364e7,2.7840072155703896e8,0.0,283.24330271172437,6.658729700794089e6,4.985844278067533e7,3.4267575881641114e8,D000557,Normal
-0.00018143997902984936,5.0022782777637936e7,3.438318813434918e8,0.0,109.77496746350197,4.662755052803187e6,6.2214861700875685e7,4.2757583881202185e8,D000558,Normal
-0.00018143997902984936,5.002278277645502e7,3.4383188134849167e8,0.0,109.77496751840266,4.66275505370698e6,6.221486169922205e7,4.275758387491847e8,D000559,Normal
-0.0001814399781347294,5.002278277412158e7,3.4383188149866396e8,0.0,109.77496771312562,4.662755055427812e6,6.2214861695960164e7,4.27575839317019e8,D000560,Normal
-0.00018143997902984936,5.002278277602926e7,3.4383188134583545e8,0.0,109.77496753748662,4.66275505384551e6,6.2214861698626846e7,4.275758387454579e8,D000561,Normal
